Runs,Strategy,Start_frame,End_frame,Total_frames
2,BSS,842,646,918
2,BSS,635,648,1101
2,BSS,361,646,285
2,BSS,823,646,937
2,BSS,11,648,477
2,BSS,523,648,989
2,BSS,197,646,449
2,BSS,369,648,835
2,BSS,859,646,901
2,BSS,590,646,56
2,BSS,607,648,1073
2,BSS,887,648,239
2,BSS,33,646,613
2,BSS,350,648,816
2,BSS,255,648,721
2,BSS,315,648,781
2,BSS,127,646,519
2,BSS,460,646,186
2,BSS,860,646,900
2,BSS,968,648,320
2,BSS,9,648,475
2,BSS,385,646,261
2,BSS,836,646,924
2,BSS,736,648,88
2,BSS,70,646,576
2,BSS,265,648,731
2,BSS,990,646,770
2,BSS,98,648,564
2,BSS,898,648,250
2,BSS,943,646,817
2,BSS,294,646,352
2,BSS,85,646,561
2,BSS,615,646,31
2,BSS,721,648,73
2,BSS,609,646,37
2,BSS,575,648,1041
2,BSS,83,648,549
2,BSS,779,648,131
2,BSS,927,648,279
2,BSS,361,648,827
2,BSS,255,646,391
2,BSS,632,648,1098
2,BSS,31,648,497
2,BSS,145,648,611
2,BSS,268,646,378
2,BSS,944,646,816
2,BSS,1039,646,721
2,BSS,166,648,632
2,BSS,1025,646,735
2,BSS,642,648,1108
2,BSS,361,648,827
2,BSS,409,646,237
2,BSS,497,646,149
2,BSS,752,646,1008
2,BSS,283,646,363
2,BSS,1016,648,368
2,BSS,1074,646,686
2,BSS,479,648,945
2,BSS,600,646,46
2,BSS,997,648,349
2,BSS,422,648,888
2,BSS,834,646,926
2,BSS,768,646,992
2,BSS,502,648,968
2,BSS,224,646,422
2,BSS,25,648,491
2,BSS,571,648,1037
2,BSS,265,648,731
2,BSS,967,646,793
2,BSS,585,646,61
2,BSS,192,646,454
2,BSS,782,646,978
2,BSS,464,648,930
2,BSS,958,646,802
2,BSS,1078,646,682
2,BSS,160,646,486
2,BSS,28,648,494
2,BSS,606,646,40
2,BSS,357,646,289
2,BSS,805,646,955
2,BSS,58,646,588
2,BSS,634,646,12
2,BSS,946,648,298
2,BSS,43,648,509
2,BSS,52,648,518
2,BSS,801,646,959
2,BSS,243,648,709
2,BSS,52,648,518
2,BSS,88,648,554
2,BSS,537,646,109
2,BSS,1087,646,673
2,BSS,315,648,781
2,BSS,820,646,940
2,BSS,32,646,614
2,BSS,112,648,578
2,BSS,325,646,321
2,BSS,432,648,898
2,BSS,270,648,736
2,BSS,1110,648,462
2,BSS,126,646,520
2,BSS,706,648,58
2,BSS,366,646,280
2,BSS,300,646,346
2,BSS,959,648,311
2,BSS,766,646,994
2,BSS,1040,648,392
2,BSS,71,646,575
2,BSS,773,646,987
2,BSS,930,648,282
2,BSS,377,646,269
2,BSS,133,648,599
2,BSS,701,648,53
2,BSS,368,648,834
2,BSS,764,646,996
2,BSS,775,646,985
2,BSS,89,646,557
2,BSS,236,646,410
2,BSS,100,648,566
2,BSS,898,646,862
2,BSS,396,646,250
2,BSS,78,646,568
2,BSS,299,646,347
2,BSS,317,646,329
2,BSS,797,646,963
2,BSS,109,648,575
2,BSS,1001,648,353
2,BSS,780,648,132
2,BSS,719,648,71
2,BSS,855,646,905
2,BSS,1079,646,681
2,BSS,488,646,158
2,BSS,360,648,826
2,BSS,1054,648,406
2,BSS,405,648,871
2,BSS,915,646,845
2,BSS,815,646,945
2,BSS,571,646,75
2,BSS,1109,646,651
2,BSS,329,648,795
2,BSS,577,648,1043
2,BSS,1101,646,659
2,BSS,913,648,265
2,BSS,517,648,983
2,BSS,100,648,566
2,BSS,871,646,889
2,BSS,220,646,426
2,BSS,265,648,731
2,BSS,133,648,599
2,BSS,546,646,100
2,BSS,63,646,583
2,BSS,352,648,818
2,BSS,860,646,900
2,BSS,275,648,741
2,BSS,54,648,520
2,BSS,706,648,58
2,BSS,960,646,800
2,BSS,389,646,257
2,BSS,372,646,274
2,BSS,356,648,822
2,BSS,545,646,101
2,BSS,875,646,885
2,BSS,686,646,1074
2,BSS,584,646,62
2,BSS,238,646,408
2,BSS,343,648,809
2,BSS,477,646,169
2,BSS,92,646,554
2,BSS,190,648,656
2,BSS,715,646,1045
2,BSS,943,648,295
2,BSS,835,646,925
2,BSS,1091,646,669
2,BSS,218,648,684
2,BSS,977,646,783
2,BSS,725,648,77
2,BSS,680,646,1080
2,BSS,687,648,39
2,BSS,76,646,570
2,BSS,649,648,1
2,BSS,405,648,871
2,BSS,263,648,729
2,BSS,65,648,531
2,BSS,695,648,47
2,BSS,667,646,1093
2,BSS,87,646,559
2,BSS,424,646,222
2,BSS,560,646,86
2,BSS,691,648,43
2,BSS,840,648,192
2,BSS,13,648,479
2,BSS,992,648,344
2,BSS,119,648,585
2,BSS,440,648,906
2,BSS,719,646,1041
2,BSS,850,646,910
2,BSS,726,646,1034
2,BSS,484,648,950
2,BSS,612,646,34
2,BSS,110,646,536
