04-18-2026 17:52:46 RAM 5457/7620MB (lfb 14x4MB) SWAP 3003/3810MB (cached 23MB) CPU [1%@883,0%@883,5%@883,1%@883,0%@1510,100%@1510] GR3D_FREQ 41% cpu@55.687C soc2@54.812C soc0@53.906C gpu@54.968C tj@55.687C soc1@54.812C VDD_IN 6330mW/6330mW VDD_CPU_GPU_CV 1677mW/1677mW VDD_SOC 1560mW/1560mW
04-18-2026 17:52:46 RAM 5457/7620MB (lfb 14x4MB) SWAP 3003/3810MB (cached 23MB) CPU [3%@1510,3%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 50% cpu@55.687C soc2@54.906C soc0@53.906C gpu@55.093C tj@55.843C soc1@54.75C VDD_IN 6410mW/6370mW VDD_CPU_GPU_CV 1677mW/1677mW VDD_SOC 1560mW/1560mW
04-18-2026 17:52:47 RAM 5457/7620MB (lfb 14x4MB) SWAP 3003/3810MB (cached 23MB) CPU [0%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 42% cpu@55.75C soc2@54.875C soc0@53.937C gpu@55.25C tj@55.75C soc1@54.875C VDD_IN 6370mW/6370mW VDD_CPU_GPU_CV 1677mW/1677mW VDD_SOC 1560mW/1560mW
04-18-2026 17:52:47 RAM 5457/7620MB (lfb 14x4MB) SWAP 3003/3810MB (cached 23MB) CPU [0%@1510,0%@1510,0%@1510,0%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@55.718C soc2@54.937C soc0@53.843C gpu@55.406C tj@55.718C soc1@54.906C VDD_IN 6360mW/6367mW VDD_CPU_GPU_CV 1677mW/1677mW VDD_SOC 1560mW/1560mW
04-18-2026 17:52:48 RAM 5456/7620MB (lfb 14x4MB) SWAP 3003/3810MB (cached 23MB) CPU [0%@1510,3%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 42% cpu@56.125C soc2@54.875C soc0@53.875C gpu@54.906C tj@56.125C soc1@55.031C VDD_IN 6370mW/6368mW VDD_CPU_GPU_CV 1677mW/1677mW VDD_SOC 1560mW/1560mW
04-18-2026 17:52:48 RAM 5456/7620MB (lfb 14x4MB) SWAP 3003/3810MB (cached 23MB) CPU [3%@1510,3%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 50% cpu@55.812C soc2@54.906C soc0@53.843C gpu@55.093C tj@55.812C soc1@55.031C VDD_IN 6360mW/6366mW VDD_CPU_GPU_CV 1677mW/1677mW VDD_SOC 1560mW/1560mW
04-18-2026 17:52:49 RAM 5456/7620MB (lfb 14x4MB) SWAP 3003/3810MB (cached 23MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 37% cpu@56C soc2@54.781C soc0@53.843C gpu@54.937C tj@55.75C soc1@55.031C VDD_IN 6370mW/6367mW VDD_CPU_GPU_CV 1677mW/1677mW VDD_SOC 1560mW/1560mW
04-18-2026 17:52:49 RAM 5456/7620MB (lfb 14x4MB) SWAP 3003/3810MB (cached 23MB) CPU [2%@1510,3%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 40% cpu@56.031C soc2@54.937C soc0@53.812C gpu@55.093C tj@56.031C soc1@54.937C VDD_IN 6360mW/6366mW VDD_CPU_GPU_CV 1677mW/1677mW VDD_SOC 1560mW/1560mW
04-18-2026 17:52:50 RAM 5456/7620MB (lfb 14x4MB) SWAP 3003/3810MB (cached 23MB) CPU [1%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 41% cpu@56.125C soc2@54.906C soc0@53.843C gpu@55.125C tj@56.125C soc1@55C VDD_IN 6370mW/6366mW VDD_CPU_GPU_CV 1677mW/1677mW VDD_SOC 1560mW/1560mW
04-18-2026 17:52:50 RAM 5457/7620MB (lfb 14x4MB) SWAP 3003/3810MB (cached 23MB) CPU [3%@1510,2%@1510,5%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 48% cpu@55.875C soc2@54.937C soc0@53.812C gpu@55.343C tj@55.875C soc1@54.875C VDD_IN 6370mW/6367mW VDD_CPU_GPU_CV 1677mW/1677mW VDD_SOC 1560mW/1560mW
04-18-2026 17:52:51 RAM 5457/7620MB (lfb 14x4MB) SWAP 3003/3810MB (cached 23MB) CPU [1%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 42% cpu@55.937C soc2@55C soc0@53.781C gpu@55.093C tj@55.937C soc1@54.968C VDD_IN 6370mW/6367mW VDD_CPU_GPU_CV 1677mW/1677mW VDD_SOC 1560mW/1560mW
