04-18-2026 17:57:14 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [1%@1510,0%@1510,1%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 50% cpu@55.343C soc2@54.531C soc0@53.718C gpu@54.625C tj@55.343C soc1@54.562C VDD_IN 6370mW/6326mW VDD_CPU_GPU_CV 1677mW/1647mW VDD_SOC 1560mW/1557mW
04-18-2026 17:57:14 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [3%@1510,0%@1510,0%@1510,1%@729,0%@1510,100%@1510] GR3D_FREQ 39% cpu@55.437C soc2@54.531C soc0@53.625C gpu@54.687C tj@55.437C soc1@54.562C VDD_IN 6370mW/6328mW VDD_CPU_GPU_CV 1677mW/1648mW VDD_SOC 1560mW/1557mW
04-18-2026 17:57:15 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [1%@1510,1%@1510,2%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 46% cpu@55.437C soc2@54.531C soc0@53.593C gpu@54.625C tj@55.437C soc1@54.5C VDD_IN 6360mW/6330mW VDD_CPU_GPU_CV 1677mW/1650mW VDD_SOC 1560mW/1557mW
04-18-2026 17:57:15 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,0%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 41% cpu@55.343C soc2@54.5C soc0@53.593C gpu@54.718C tj@55.343C soc1@54.531C VDD_IN 6370mW/6332mW VDD_CPU_GPU_CV 1677mW/1651mW VDD_SOC 1560mW/1558mW
04-18-2026 17:57:16 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [3%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 42% cpu@55.312C soc2@54.625C soc0@53.593C gpu@54.75C tj@55.312C soc1@54.5C VDD_IN 6370mW/6334mW VDD_CPU_GPU_CV 1677mW/1653mW VDD_SOC 1560mW/1558mW
04-18-2026 17:57:16 RAM 5474/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,1%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 42% cpu@55.437C soc2@54.562C soc0@53.593C gpu@55.062C tj@55.437C soc1@54.468C VDD_IN 6370mW/6336mW VDD_CPU_GPU_CV 1677mW/1654mW VDD_SOC 1560mW/1558mW
04-18-2026 17:57:17 RAM 5474/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [3%@1510,0%@1510,5%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 42% cpu@55.75C soc2@54.5C soc0@53.562C gpu@54.531C tj@55.75C soc1@54.781C VDD_IN 6370mW/6337mW VDD_CPU_GPU_CV 1677mW/1655mW VDD_SOC 1560mW/1558mW
04-18-2026 17:57:17 RAM 5474/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 40% cpu@55.343C soc2@54.531C soc0@53.593C gpu@54.968C tj@55.343C soc1@54.656C VDD_IN 6360mW/6338mW VDD_CPU_GPU_CV 1677mW/1656mW VDD_SOC 1560mW/1558mW
04-18-2026 17:57:18 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [3%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 48% cpu@55.562C soc2@54.5C soc0@53.531C gpu@54.593C tj@55.562C soc1@54.593C VDD_IN 6370mW/6339mW VDD_CPU_GPU_CV 1677mW/1657mW VDD_SOC 1560mW/1558mW
04-18-2026 17:57:18 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,1%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 45% cpu@55.718C soc2@54.531C soc0@53.468C gpu@54.718C tj@55.718C soc1@54.593C VDD_IN 6360mW/6340mW VDD_CPU_GPU_CV 1677mW/1657mW VDD_SOC 1560mW/1558mW
04-18-2026 17:57:19 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [1%@1510,1%@1510,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@55.875C soc2@54.5C soc0@53.5C gpu@54.718C tj@55.875C soc1@54.531C VDD_IN 6370mW/6341mW VDD_CPU_GPU_CV 1677mW/1658mW VDD_SOC 1560mW/1558mW
04-18-2026 17:57:19 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [1%@1510,0%@1510,1%@1510,3%@729,0%@1510,100%@1510] GR3D_FREQ 42% cpu@55.593C soc2@54.5C soc0@53.562C gpu@54.843C tj@55.593C soc1@54.593C VDD_IN 6360mW/6342mW VDD_CPU_GPU_CV 1677mW/1659mW VDD_SOC 1560mW/1558mW
04-18-2026 17:57:20 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,3%@905,0%@729,0%@729,3%@1510,100%@1510] GR3D_FREQ 50% cpu@55.656C soc2@54.562C soc0@53.468C gpu@55.093C tj@55.656C soc1@54.625C VDD_IN 6360mW/6343mW VDD_CPU_GPU_CV 1677mW/1659mW VDD_SOC 1560mW/1558mW
