04-18-2026 12:23:59 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,0%@1510,1%@1510,2%@883,74%@883] GR3D_FREQ 62% cpu@54.656C soc2@54.093C soc0@53.281C gpu@54.312C tj@54.656C soc1@54.093C VDD_IN 6169mW/6102mW VDD_CPU_GPU_CV 1400mW/1360mW VDD_SOC 1600mW/1595mW
04-18-2026 12:24:00 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,1%@1510,3%@1510,2%@883,75%@883] GR3D_FREQ 64% cpu@54.75C soc2@54.062C soc0@53.156C gpu@54.531C tj@54.75C soc1@54C VDD_IN 6169mW/6106mW VDD_CPU_GPU_CV 1400mW/1362mW VDD_SOC 1600mW/1595mW
04-18-2026 12:24:00 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,0%@883,72%@883] GR3D_FREQ 61% cpu@54.75C soc2@54.093C soc0@53.125C gpu@54.343C tj@54.75C soc1@54.156C VDD_IN 6129mW/6107mW VDD_CPU_GPU_CV 1400mW/1364mW VDD_SOC 1600mW/1595mW
04-18-2026 12:24:01 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,0%@1510,0%@1510,0%@883,74%@883] GR3D_FREQ 62% cpu@54.968C soc2@54C soc0@53.125C gpu@54.5C tj@54.968C soc1@54.281C VDD_IN 6129mW/6108mW VDD_CPU_GPU_CV 1400mW/1366mW VDD_SOC 1600mW/1596mW
04-18-2026 12:24:01 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,1%@1510,0%@1510,0%@1510,2%@883,74%@883] GR3D_FREQ 65% cpu@54.656C soc2@54.031C soc0@53.125C gpu@54.25C tj@54.656C soc1@54.343C VDD_IN 6129mW/6109mW VDD_CPU_GPU_CV 1400mW/1368mW VDD_SOC 1600mW/1596mW
04-18-2026 12:24:02 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@883,75%@883] GR3D_FREQ 62% cpu@54.875C soc2@54.031C soc0@53.156C gpu@54.5C tj@54.875C soc1@54.25C VDD_IN 6129mW/6110mW VDD_CPU_GPU_CV 1400mW/1369mW VDD_SOC 1600mW/1596mW
04-18-2026 12:24:02 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,3%@1510,0%@1510,2%@883,74%@883] GR3D_FREQ 61% cpu@54.875C soc2@54.125C soc0@53.031C gpu@54.25C tj@54.875C soc1@54.125C VDD_IN 6129mW/6111mW VDD_CPU_GPU_CV 1400mW/1370mW VDD_SOC 1600mW/1596mW
04-18-2026 12:24:03 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,0%@883,74%@883] GR3D_FREQ 62% cpu@54.843C soc2@54.156C soc0@53.375C gpu@54.531C tj@54.843C soc1@54.093C VDD_IN 6129mW/6112mW VDD_CPU_GPU_CV 1400mW/1372mW VDD_SOC 1600mW/1596mW
04-18-2026 12:24:03 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@883,73%@883] GR3D_FREQ 63% cpu@54.812C soc2@54.031C soc0@53.218C gpu@54.781C tj@54.812C soc1@54.156C VDD_IN 6169mW/6114mW VDD_CPU_GPU_CV 1400mW/1373mW VDD_SOC 1600mW/1596mW
04-18-2026 12:24:04 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [18%@1510,53%@1510,1%@1510,1%@1510,0%@729,6%@729] GR3D_FREQ 64% cpu@54.718C soc2@54.125C soc0@53.218C gpu@54.531C tj@54.718C soc1@54.062C VDD_IN 6169mW/6116mW VDD_CPU_GPU_CV 1360mW/1372mW VDD_SOC 1600mW/1597mW
