04-18-2026 12:22:54 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,0%@806,73%@806] GR3D_FREQ 65% cpu@55.156C soc2@54.593C soc0@53.656C gpu@55.125C tj@55.156C soc1@54.562C VDD_IN 6169mW/6139mW VDD_CPU_GPU_CV 1400mW/1387mW VDD_SOC 1600mW/1597mW
04-18-2026 12:22:55 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,0%@883,75%@883] GR3D_FREQ 66% cpu@55.125C soc2@54.531C soc0@53.656C gpu@54.843C tj@55.125C soc1@54.531C VDD_IN 6169mW/6140mW VDD_CPU_GPU_CV 1400mW/1388mW VDD_SOC 1600mW/1597mW
04-18-2026 12:22:55 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@1510,1%@1510,0%@883,74%@883] GR3D_FREQ 63% cpu@55.25C soc2@54.562C soc0@53.593C gpu@55.062C tj@55.25C soc1@54.562C VDD_IN 6129mW/6140mW VDD_CPU_GPU_CV 1400mW/1388mW VDD_SOC 1600mW/1597mW
04-18-2026 12:22:56 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@883,72%@883] GR3D_FREQ 64% cpu@55.125C soc2@54.562C soc0@53.593C gpu@54.625C tj@55.125C soc1@54.718C VDD_IN 6169mW/6141mW VDD_CPU_GPU_CV 1400mW/1389mW VDD_SOC 1600mW/1598mW
04-18-2026 12:22:56 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@883,73%@883] GR3D_FREQ 63% cpu@55.406C soc2@54.5C soc0@53.593C gpu@55.062C tj@55.406C soc1@54.687C VDD_IN 6129mW/6141mW VDD_CPU_GPU_CV 1400mW/1389mW VDD_SOC 1600mW/1598mW
04-18-2026 12:22:57 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,1%@1510,0%@1510,0%@883,74%@883] GR3D_FREQ 63% cpu@55.593C soc2@54.468C soc0@53.562C gpu@54.625C tj@55.593C soc1@54.593C VDD_IN 6169mW/6142mW VDD_CPU_GPU_CV 1400mW/1390mW VDD_SOC 1600mW/1598mW
04-18-2026 12:22:57 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,2%@1510,1%@1510,0%@883,74%@883] GR3D_FREQ 62% cpu@55.343C soc2@54.593C soc0@53.468C gpu@55C tj@55.343C soc1@54.593C VDD_IN 6129mW/6141mW VDD_CPU_GPU_CV 1400mW/1390mW VDD_SOC 1600mW/1598mW
04-18-2026 12:22:58 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,2%@883,75%@883] GR3D_FREQ 62% cpu@55.281C soc2@54.625C soc0@53.656C gpu@54.531C tj@55.281C soc1@54.562C VDD_IN 6169mW/6142mW VDD_CPU_GPU_CV 1400mW/1391mW VDD_SOC 1600mW/1598mW
04-18-2026 12:22:58 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,0%@806,73%@806] GR3D_FREQ 61% cpu@55.218C soc2@54.5C soc0@53.687C gpu@54.656C tj@55.218C soc1@54.531C VDD_IN 6169mW/6144mW VDD_CPU_GPU_CV 1397mW/1391mW VDD_SOC 1600mW/1598mW
04-18-2026 12:22:59 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,3%@1510,1%@1510,0%@883,74%@883] GR3D_FREQ 63% cpu@55.187C soc2@54.562C soc0@53.593C gpu@55.218C tj@55.218C soc1@54.531C VDD_IN 6169mW/6145mW VDD_CPU_GPU_CV 1400mW/1391mW VDD_SOC 1600mW/1598mW
04-18-2026 12:22:59 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@883,75%@883] GR3D_FREQ 61% cpu@55.156C soc2@54.562C soc0@53.593C gpu@54.656C tj@55.125C soc1@54.531C VDD_IN 6169mW/6145mW VDD_CPU_GPU_CV 1400mW/1392mW VDD_SOC 1600mW/1598mW
04-18-2026 12:23:00 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,1%@1510,0%@1510,0%@806,73%@806] GR3D_FREQ 62% cpu@55.093C soc2@54.437C soc0@53.656C gpu@54.781C tj@55.093C soc1@54.75C VDD_IN 6169mW/6146mW VDD_CPU_GPU_CV 1400mW/1392mW VDD_SOC 1600mW/1598mW
04-18-2026 12:23:00 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,2%@1510,0%@1510,2%@883,75%@883] GR3D_FREQ 63% cpu@55.437C soc2@54.531C soc0@53.562C gpu@54.656C tj@55.437C soc1@54.718C VDD_IN 6169mW/6147mW VDD_CPU_GPU_CV 1400mW/1392mW VDD_SOC 1600mW/1598mW
04-18-2026 12:23:01 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,1%@1510,0%@1510,1%@883,74%@883] GR3D_FREQ 65% cpu@55.125C soc2@54.5C soc0@53.531C gpu@54.656C tj@55.125C soc1@54.625C VDD_IN 6169mW/6148mW VDD_CPU_GPU_CV 1400mW/1392mW VDD_SOC 1600mW/1598mW
